Age,Height,IQ,Weight that one  person would consider interesting and very fascinating phenomenon number one and it is very important to write such a long sentense,Trololololo1Trololololo2Trololololo3Trololololo4Trololololo5Trololololo6Trololololo7Trololololo8Trololololo9Trololololo10,Float3,Float4,Fruit,Type
23,145,212,34.23,134.56,245.67,345.78,Apple,TypeA
56,176,239,45.67,156.78,256.89,365.9,Banana,TypeB
78,189,255,56.78,167.89,267.9,376.01,Cherry,TypeA
90,102,278,67.89,178.9,278.01,387.12,Apple,TypeC
12,113,290,12.34,123.45,234.56,345.67,Banana,TypeB
45,135,305,23.45,134.56,245.67,356.78,Cherry,TypeA
67,156,318,34.56,145.67,256.78,367.89,Apple,TypeC
89,178,332,45.67,156.78,267.89,378.9,Banana,TypeB
32,194,346,56.78,167.89,278.9,389.01,Cherry,TypeA
54,107,360,67.89,178.9,289.01,310.12,Apple,TypeC
